DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2016-2017 Regular Season,10/25/2016,Dante Exum,PG,Utah,Portland,R,8.3,2,4,0,1,1,1,1,1,2,0,2,0,0,0,5
2016-2017 Regular Season,10/25/2016,Maurice Harkless,SF,Portland,Utah,H,22.4,0,2,0,1,0,0,0,1,1,1,1,2,2,0,0
2016-2017 Regular Season,10/25/2016,Al-Farouq Aminu,SF,Portland,Utah,H,28.4,3,6,2,3,1,1,0,4,4,1,0,1,1,0,9
2016-2017 Regular Season,10/25/2016,Mason Plumlee,C,Portland,Utah,H,14.6,1,4,0,0,0,0,0,1,1,1,4,0,0,0,2
2016-2017 Regular Season,10/25/2016,CJ McCollum,SG,Portland,Utah,H,34.6,8,16,2,2,7,7,1,1,2,3,3,1,3,0,25
2016-2017 Regular Season,10/25/2016,Damian Lillard,PG,Portland,Utah,H,35.4,13,20,4,6,9,9,1,8,9,6,3,0,4,0,39
2016-2017 Regular Season,10/25/2016,Evan Turner,SG,Portland,Utah,H,26.0,1,7,0,0,1,1,0,5,5,5,1,1,0,1,3
2016-2017 Regular Season,10/25/2016,Allen Crabbe,SG,Portland,Utah,H,29.2,6,10,4,5,2,2,0,3,3,3,2,0,2,0,18
2016-2017 Regular Season,10/25/2016,Ed Davis,PF,Portland,Utah,H,24.1,2,3,0,0,2,2,3,4,7,1,2,0,0,1,6
2016-2017 Regular Season,10/25/2016,Noah Vonleh,PF,Portland,Utah,H,16.1,5,5,1,1,0,0,0,1,1,0,1,0,0,1,11
2016-2017 Regular Season,10/25/2016,Meyers Leonard,PF,Portland,Utah,H,9.3,0,2,0,1,0,0,0,1,1,1,1,0,0,0,0
2016-2017 Regular Season,10/25/2016,Kawhi Leonard,SF,San Antonio,Golden State,R,32.1,10,21,0,3,15,15,3,2,5,3,1,5,2,0,35
2016-2017 Regular Season,10/25/2016,LaMarcus Aldridge,PF,San Antonio,Golden State,R,35.2,10,20,1,1,5,6,8,6,14,3,1,1,2,0,26
2016-2017 Regular Season,10/25/2016,Pau Gasol,C,San Antonio,Golden State,R,18.3,1,4,0,0,0,0,0,4,4,1,3,0,1,0,2
2016-2017 Regular Season,10/25/2016,Kyle Anderson,SG,San Antonio,Golden State,R,22.4,1,1,1,1,0,0,2,2,4,0,1,1,0,0,3
2016-2017 Regular Season,10/25/2016,Tony Parker,PG,San Antonio,Golden State,R,26.5,4,9,1,2,0,0,0,3,3,4,4,0,2,0,9
2016-2017 Regular Season,10/25/2016,Patty Mills,PG,San Antonio,Golden State,R,17.9,4,9,3,5,0,0,0,1,1,5,1,4,0,0,11
2016-2017 Regular Season,10/25/2016,Jonathon Simmons,SG,San Antonio,Golden State,R,28.2,8,14,3,5,1,3,1,3,4,3,2,0,2,1,20
2016-2017 Regular Season,10/25/2016,Dewayne Dedmon,C,San Antonio,Golden State,R,16.6,1,4,0,0,0,0,4,4,8,0,3,1,1,2,2
2016-2017 Regular Season,10/25/2016,David Lee,PF,San Antonio,Golden State,R,11.1,2,4,0,0,2,2,3,3,6,2,1,0,2,0,6
2016-2017 Regular Season,10/25/2016,Manu Ginobili,SG,San Antonio,Golden State,R,20.9,4,10,2,6,0,0,0,5,5,2,1,1,0,0,10
2016-2017 Regular Season,10/25/2016,Bryn Forbes,SG,San Antonio,Golden State,R,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Regular Season,10/25/2016,Nicolas Laprovittola,PG,San Antonio,Golden State,R,3.7,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
2016-2017 Regular Season,10/25/2016,Davis Bertans,PF,San Antonio,Golden State,R,3.7,2,2,1,1,0,0,0,1,1,0,0,0,0,0,5
2016-2017 Regular Season,10/25/2016,Kevin Durant,SF,Golden State,San Antonio,H,36.6,11,18,1,3,4,5,0,10,10,4,2,2,0,2,27
2016-2017 Regular Season,10/25/2016,Draymond Green,PF,Golden State,San Antonio,H,32.6,7,14,2,5,2,2,5,7,12,6,2,5,2,1,18
2016-2017 Regular Season,10/25/2016,Zaza Pachulia,C,Golden State,San Antonio,H,20.1,1,1,0,0,0,0,1,2,3,1,2,0,3,0,2
2016-2017 Regular Season,10/25/2016,Klay Thompson,SG,Golden State,San Antonio,H,33.4,5,13,1,6,0,0,0,1,1,2,4,0,1,0,11
2016-2017 Regular Season,10/25/2016,Stephen Curry,PG,Golden State,San Antonio,H,34.1,9,18,3,10,5,6,0,3,3,4,1,0,4,0,26
2016-2017 Regular Season,10/25/2016,Andre Iguodala,SF,Golden State,San Antonio,H,26.8,1,3,0,2,0,0,1,1,2,3,3,1,1,0,2
2016-2017 Regular Season,10/25/2016,Ian Clark,SG,Golden State,San Antonio,H,13.4,2,8,0,4,1,2,0,0,0,2,0,0,0,1,5
2016-2017 Regular Season,10/25/2016,David West,PF,Golden State,San Antonio,H,10.7,1,2,0,0,0,0,1,1,2,0,2,1,4,1,2
2016-2017 Regular Season,10/25/2016,Shaun Livingston,PG,Golden State,San Antonio,H,12.9,1,3,0,1,0,0,0,2,2,0,0,1,1,0,2
2016-2017 Regular Season,10/25/2016,Patrick McCaw,SG,Golden State,San Antonio,H,9.0,1,3,0,2,0,0,0,0,0,2,0,1,0,1,2
2016-2017 Regular Season,10/25/2016,Anderson Varejao,C,Golden State,San Antonio,H,3.2,0,0,0,0,1,2,0,0,0,0,3,0,0,0,1
2016-2017 Regular Season,10/25/2016,JaVale McGee,C,Golden State,San Antonio,H,3.7,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2
2016-2017 Regular Season,10/25/2016,Kevon Looney,PF,Golden State,San Antonio,H,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Regular Season,10/26/2016,Luke Babbitt,SF,Miami,Orlando,R,18.8,3,10,2,6,0,0,0,1,1,2,1,0,0,0,8
2016-2017 Regular Season,10/26/2016,Justise Winslow,SF,Miami,Orlando,R,34.0,7,15,0,2,1,1,3,5,8,4,4,1,2,2,15
2016-2017 Regular Season,10/26/2016,Hassan Whiteside,C,Miami,Orlando,R,31.0,9,16,0,0,0,4,4,10,14,1,3,0,1,4,18
2016-2017 Regular Season,10/26/2016,Dion Waiters,SG,Miami,Orlando,R,33.5,4,13,0,1,1,2,1,5,6,4,2,0,1,0,9
2016-2017 Regular Season,10/26/2016,Goran Dragic,PG,Miami,Orlando,R,28.6,7,15,0,1,2,2,3,3,6,6,4,0,3,0,16
2016-2017 Regular Season,10/26/2016,Tyler Johnson,SG,Miami,Orlando,R,28.3,7,11,0,1,1,1,1,5,6,3,2,2,1,0,15
2016-2017 Regular Season,10/26/2016,James Johnson,PF,Miami,Orlando,R,25.2,4,8,2,4,1,1,0,2,2,6,1,0,1,0,11
2016-2017 Regular Season,10/26/2016,Willie Reed,PF,Miami,Orlando,R,17.0,5,6,0,0,0,0,3,3,6,1,1,0,0,1,10
2016-2017 Regular Season,10/26/2016,Rodney McGruder,SG,Miami,Orlando,R,23.6,1,3,0,1,4,5,1,2,3,0,4,2,1,0,6
2016-2017 Regular Season,10/26/2016,Aaron Gordon,SF,Orlando,Miami,H,35.1,5,12,2,3,0,0,2,6,8,4,1,1,3,1,12
2016-2017 Regular Season,10/26/2016,Serge Ibaka,PF,Orlando,Miami,H,36.3,6,17,2,4,0,0,2,6,8,0,3,0,0,1,14
2016-2017 Regular Season,10/26/2016,Nikola Vucevic,C,Orlando,Miami,H,35.8,7,14,0,0,3,4,5,9,14,3,3,2,1,0,17
2016-2017 Regular Season,10/26/2016,Evan Fournier,SG,Orlando,Miami,H,39.4,7,19,2,6,4,7,1,3,4,4,3,2,1,0,20
2016-2017 Regular Season,10/26/2016,Elfrid Payton,PG,Orlando,Miami,H,37.5,4,12,0,2,8,8,2,2,4,5,1,0,4,2,16
2016-2017 Regular Season,10/26/2016,Jeff Green,SF,Orlando,Miami,H,25.2,2,7,0,2,3,4,1,2,3,1,1,0,1,0,7
2016-2017 Regular Season,10/26/2016,Mario Hezonja,SF,Orlando,Miami,H,14.2,1,5,0,0,1,2,2,1,3,2,1,0,0,0,3
2016-2017 Regular Season,10/26/2016,D.J. Augustin,PG,Orlando,Miami,H,16.5,2,3,0,1,3,3,0,1,1,1,2,0,1,0,7
2016-2017 Regular Season,10/26/2016,Harrison Barnes,SF,Dallas,Indiana,R,34.7,8,14,3,6,0,0,3,6,9,0,3,0,2,0,19
2016-2017 Regular Season,10/26/2016,Dirk Nowitzki,PF,Dallas,Indiana,R,38.4,8,19,4,9,2,2,0,8,8,2,1,2,2,2,22
2016-2017 Regular Season,10/26/2016,Andrew Bogut,C,Dallas,Indiana,R,19.7,3,5,0,0,0,2,2,4,6,3,3,0,1,1,6
2016-2017 Regular Season,10/26/2016,Wesley Matthews,SG,Dallas,Indiana,R,39.6,3,16,2,10,5,6,0,5,5,3,4,3,1,0,13
2016-2017 Regular Season,10/26/2016,Deron Williams,PG,Dallas,Indiana,R,40.0,10,18,5,8,0,0,1,2,3,7,4,0,6,1,25
2016-2017 Regular Season,10/26/2016,J.J. Barea,PG,Dallas,Indiana,R,39.1,7,17,2,7,6,6,0,2,2,6,1,0,3,1,22
2016-2017 Regular Season,10/26/2016,Justin Anderson,SF,Dallas,Indiana,R,19.3,3,9,1,6,0,0,1,4,5,2,2,0,0,1,7
2016-2017 Regular Season,10/26/2016,Dwight Powell,C,Dallas,Indiana,R,16.5,0,2,0,0,0,2,3,4,7,1,2,0,0,1,0
2016-2017 Regular Season,10/26/2016,Seth Curry,PG,Dallas,Indiana,R,15.8,3,4,1,2,0,0,0,3,3,1,6,3,0,1,7
2016-2017 Regular Season,10/26/2016,Quincy Acy,PF,Dallas,Indiana,R,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-2017 Regular Season,10/26/2016,Nicolas Brussino,SF,Dallas,Indiana,R,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-2017 Regular Season,10/26/2016,Dorian Finney-Smith,PF,Dallas,Indiana,R,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016-2017 Regular Season,10/26/2016,Paul George,SF,Indiana,Dallas,H,42.8,7,14,4,5,7,8,0,8,8,6,2,0,2,0,25
2016-2017 Regular Season,10/26/2016,Thaddeus Young,PF,Indiana,Dallas,H,34.2,5,10,1,1,0,0,0,5,5,4,6,1,2,0,11
2016-2017 Regular Season,10/26/2016,Myles Turner,C,Indiana,Dallas,H,37.5,13,19,1,2,3,5,6,10,16,1,4,2,2,4,30
2016-2017 Regular Season,10/26/2016,Monta Ellis,SG,Indiana,Dallas,H,44.0,7,11,1,2,4,4,0,7,7,7,3,3,3,0,19
2016-2017 Regular Season,10/26/2016,Jeff Teague,PG,Indiana,Dallas,H,36.8,5,15,0,3,10,13,0,2,2,8,4,3,3,0,20
2016-2017 Regular Season,10/26/2016,Rodney Stuckey,PG,Indiana,Dallas,H,21.9,3,6,1,2,1,3,0,3,3,1,0,0,2,0,8
2016-2017 Regular Season,10/26/2016,Lavoy Allen,PF,Indiana,Dallas,H,10.7,1,3,0,0,0,0,1,4,5,2,1,0,0,1,2
2016-2017 Regular Season,10/26/2016,Al Jefferson,C,Indiana,Dallas,H,10.9,3,6,0,0,1,1,1,5,6,0,1,0,1,1,7
2016-2017 Regular Season,10/26/2016,Joe Young,PG,Indiana,Dallas,H,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-2017 Regular Season,10/26/2016,Glenn Robinson III,SG,Indiana,Dallas,H,10.2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0
2016-2017 Regular Season,10/26/2016,CJ Miles,SF,Indiana,Dallas,H,12.6,3,6,2,3,0,0,0,0,0,1,1,2,0,0,8
2016-2017 Regular Season,10/26/2016,Rondae Hollis-Jefferson,SF,Brooklyn,Boston,R,23.6,1,3,0,1,3,4,0,2,2,0,1,1,1,0,5
2016-2017 Regular Season,10/26/2016,Trevor Booker,PF,Brooklyn,Boston,R,24.4,4,5,0,1,0,0,1,6,7,5,0,3,1,0,8
2016-2017 Regular Season,10/26/2016,Brook Lopez,C,Brooklyn,Boston,R,21.2,1,7,1,2,4,4,2,3,5,0,1,0,2,0,7
2016-2017 Regular Season,10/26/2016,Bojan Bogdanovic,SF,Brooklyn,Boston,R,23.1,9,17,3,8,0,0,2,3,5,0,2,1,2,0,21
2016-2017 Regular Season,10/26/2016,Jeremy Lin,PG,Brooklyn,Boston,R,27.6,6,14,2,5,4,5,1,2,3,3,1,0,2,1,18
2016-2017 Regular Season,10/26/2016,Joe Harris,SG,Brooklyn,Boston,R,25.3,6,15,4,9,0,0,0,4,4,3,3,2,3,2,16
2016-2017 Regular Season,10/26/2016,Luis Scola,PF,Brooklyn,Boston,R,21.6,3,8,1,5,1,2,0,1,1,3,3,0,2,0,8
2016-2017 Regular Season,10/26/2016,Greivis Vasquez,PG,Brooklyn,Boston,R,18.2,0,1,0,1,0,0,0,0,0,3,3,1,0,0,0
2016-2017 Regular Season,10/26/2016,Justin Hamilton,C,Brooklyn,Boston,R,25.3,7,12,3,6,2,3,6,4,10,2,4,0,1,0,19
2016-2017 Regular Season,10/26/2016,Sean Kilpatrick,SG,Brooklyn,Boston,R,22.2,5,13,1,6,2,2,1,3,4,2,0,0,2,0,13
2016-2017 Regular Season,10/26/2016,Chris McCullough,PF,Brooklyn,Boston,R,3.7,1,2,0,0,0,0,2,0,2,0,0,0,0,0,2
2016-2017 Regular Season,10/26/2016,Isaiah Whitehead,PG,Brooklyn,Boston,R,3.9,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2016-2017 Regular Season,10/26/2016,Jae Crowder,SF,Boston,Brooklyn,H,29.2,9,15,3,8,0,0,0,5,5,2,2,2,2,1,21
2016-2017 Regular Season,10/26/2016,Amir Johnson,PF,Boston,Brooklyn,H,19.5,4,6,0,0,0,1,4,3,7,2,2,1,4,0,8
2016-2017 Regular Season,10/26/2016,Al Horford,C,Boston,Brooklyn,H,27.2,5,8,1,4,0,0,1,4,5,6,2,0,2,4,11
2016-2017 Regular Season,10/26/2016,Avery Bradley,SG,Boston,Brooklyn,H,34.1,7,15,3,4,0,0,4,5,9,6,4,1,3,0,17
2016-2017 Regular Season,10/26/2016,Isaiah Thomas,PG,Boston,Brooklyn,H,32.8,7,14,2,7,9,9,0,6,6,8,3,2,3,0,25
2016-2017 Regular Season,10/26/2016,Jaylen Brown,SF,Boston,Brooklyn,H,19.5,3,4,0,0,3,4,0,2,2,1,1,1,1,2,9
2016-2017 Regular Season,10/26/2016,Terry Rozier,PG,Boston,Brooklyn,H,27.9,2,5,1,2,0,0,0,3,3,3,2,2,1,0,5
2016-2017 Regular Season,10/26/2016,Jonas Jerebko,PF,Boston,Brooklyn,H,18.8,1,8,0,5,2,2,0,1,1,3,1,4,1,0,4
2016-2017 Regular Season,10/26/2016,Gerald Green,SG,Boston,Brooklyn,H,14.8,4,7,1,2,0,0,1,4,5,2,1,0,1,0,9
2016-2017 Regular Season,10/26/2016,Tyler Zeller,C,Boston,Brooklyn,H,16.4,6,7,0,0,1,2,2,2,4,3,2,0,1,2,13
2016-2017 Regular Season,10/26/2016,Tobias Harris,PF,Detroit,Toronto,R,36.3,8,13,1,2,5,5,0,5,5,1,3,1,5,0,22
2016-2017 Regular Season,10/26/2016,Marcus Morris,SF,Detroit,Toronto,R,31.8,7,17,2,8,1,1,4,5,9,3,2,1,2,0,17
2016-2017 Regular Season,10/26/2016,Andre Drummond,C,Detroit,Toronto,R,24.2,7,11,0,0,2,6,1,5,6,0,5,1,4,0,16
2016-2017 Regular Season,10/26/2016,Kentavious Caldwell-Pope,SG,Detroit,Toronto,R,38.8,2,9,0,3,0,0,0,0,0,3,2,2,1,0,4
2016-2017 Regular Season,10/26/2016,Ish Smith,PG,Detroit,Toronto,R,33.3,3,10,0,4,0,0,0,1,1,7,0,1,0,0,6
2016-2017 Regular Season,10/26/2016,Aron Baynes,C,Detroit,Toronto,R,15.4,3,4,0,0,2,2,1,2,3,0,5,0,0,0,8
2016-2017 Regular Season,10/26/2016,Jon Leuer,PF,Detroit,Toronto,R,22.6,3,8,1,2,2,2,1,8,9,0,3,1,1,0,9
2016-2017 Regular Season,10/26/2016,Beno Udrih,PG,Detroit,Toronto,R,14.8,1,5,0,1,3,4,0,1,1,2,1,0,0,0,5
2016-2017 Regular Season,10/26/2016,Stanley Johnson,SF,Detroit,Toronto,R,13.7,1,4,0,1,0,0,0,3,3,1,1,0,0,0,2
2016-2017 Regular Season,10/26/2016,Boban Marjanovic,C,Detroit,Toronto,R,5.1,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0
2016-2017 Regular Season,10/26/2016,Michael Gbinije,SG,Detroit,Toronto,R,2.2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,2
2016-2017 Regular Season,10/26/2016,Henry Ellenson,PF,Detroit,Toronto,R,2.2,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0
2016-2017 Regular Season,10/26/2016,DeMarre Carroll,SF,Toronto,Detroit,H,29.4,2,8,2,6,2,4,0,7,7,1,3,1,0,0,8
2016-2017 Regular Season,10/26/2016,Pascal Siakam,PF,Toronto,Detroit,H,21.7,2,2,0,0,0,0,2,7,9,0,2,1,0,0,4
2016-2017 Regular Season,10/26/2016,Jonas Valanciunas,C,Toronto,Detroit,H,35.2,10,15,0,0,12,14,6,5,11,1,4,0,1,0,32
2016-2017 Regular Season,10/26/2016,DeMar DeRozan,SG,Toronto,Detroit,H,34.5,17,27,0,2,6,6,1,3,4,1,1,1,6,0,40
2016-2017 Regular Season,10/26/2016,Kyle Lowry,PG,Toronto,Detroit,H,37.8,3,13,1,5,3,3,1,4,5,8,2,1,2,0,10
2016-2017 Regular Season,10/26/2016,Terrence Ross,SF,Toronto,Detroit,H,18.6,2,4,0,1,0,0,0,4,4,3,2,2,1,0,4
2016-2017 Regular Season,10/26/2016,Patrick Patterson,PF,Toronto,Detroit,H,26.3,1,5,0,2,1,2,0,4,4,1,2,1,0,0,3
2016-2017 Regular Season,10/26/2016,Cory Joseph,SG,Toronto,Detroit,H,21.6,3,6,0,0,0,0,2,2,4,2,1,1,1,0,6
2016-2017 Regular Season,10/26/2016,Jakob Poeltl,C,Toronto,Detroit,H,12.8,1,4,0,0,0,0,2,0,2,0,5,0,0,0,2
2016-2017 Regular Season,10/26/2016,Norman Powell,SG,Toronto,Detroit,H,2.2,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0
2016-2017 Regular Season,10/26/2016,Michael Kidd-Gilchrist,SF,Charlotte,Milwaukee,R,34.9,10,18,0,2,3,3,4,10,14,0,1,1,0,1,23
2016-2017 Regular Season,10/26/2016,Marvin Williams,PF,Charlotte,Milwaukee,R,28.9,5,12,3,4,0,0,2,8,10,2,4,0,1,1,13
2016-2017 Regular Season,10/26/2016,Roy Hibbert,C,Charlotte,Milwaukee,R,31.9,6,9,0,0,3,3,4,6,10,3,4,0,2,5,15
2016-2017 Regular Season,10/26/2016,Nicolas Batum,SG,Charlotte,Milwaukee,R,33.6,2,9,1,7,4,5,0,6,6,7,2,2,1,0,9
2016-2017 Regular Season,10/26/2016,Kemba Walker,PG,Charlotte,Milwaukee,R,35.1,5,15,3,7,4,6,0,1,1,8,2,2,2,0,17
2016-2017 Regular Season,10/26/2016,Marco Belinelli,SG,Charlotte,Milwaukee,R,26.4,3,8,0,2,1,1,0,4,4,1,1,0,0,0,7
2016-2017 Regular Season,10/26/2016,Cody Zeller,PF,Charlotte,Milwaukee,R,14.3,5,6,0,0,5,6,1,2,3,1,5,0,1,2,15
2016-2017 Regular Season,10/26/2016,Spencer Hawes,PF,Charlotte,Milwaukee,R,12.7,2,4,0,1,0,0,0,2,2,3,1,0,2,1,4
2016-2017 Regular Season,10/26/2016,Ramon Sessions,PG,Charlotte,Milwaukee,R,12.9,2,4,0,0,0,0,0,0,0,0,1,0,1,0,4
2016-2017 Regular Season,10/26/2016,Jeremy Lamb,SG,Charlotte,Milwaukee,R,9.4,0,4,0,0,0,0,0,1,1,2,1,0,0,0,0
2016-2017 Regular Season,10/26/2016,Mirza Teletovic,PF,Milwaukee,Charlotte,H,27.5,3,12,0,5,0,0,0,2,2,1,1,0,1,0,6
2016-2017 Regular Season,10/26/2016,Jabari Parker,SF,Milwaukee,Charlotte,H,29.8,4,9,1,1,4,4,2,4,6,3,3,0,3,0,13
2016-2017 Regular Season,10/26/2016,Miles Plumlee,C,Milwaukee,Charlotte,H,8.3,0,2,0,0,0,0,0,1,1,1,0,1,0,1,0
2016-2017 Regular Season,10/26/2016,Giannis Antetokounmpo,SG,Milwaukee,Charlotte,H,38.7,13,21,1,2,4,6,1,8,9,5,5,1,1,1,31
2016-2017 Regular Season,10/26/2016,Matthew Dellavedova,PG,Milwaukee,Charlotte,H,29.1,5,10,1,3,0,0,0,3,3,3,3,0,2,0,11
2016-2017 Regular Season,10/26/2016,Greg Monroe,C,Milwaukee,Charlotte,H,29.3,5,13,0,0,4,5,5,5,10,3,0,1,1,3,14
2016-2017 Regular Season,10/26/2016,Michael Beasley,SF,Milwaukee,Charlotte,H,19.3,1,5,0,0,0,2,1,1,2,1,1,1,0,0,2
2016-2017 Regular Season,10/26/2016,Malcolm Brogdon,SG,Milwaukee,Charlotte,H,21.4,3,9,0,3,2,2,0,6,6,5,2,0,0,0,8
2016-2017 Regular Season,10/26/2016,Jason Terry,SG,Milwaukee,Charlotte,H,18.3,2,4,0,1,1,1,0,2,2,1,3,0,0,0,5
2016-2017 Regular Season,10/26/2016,John Henson,C,Milwaukee,Charlotte,H,10.4,2,4,0,0,0,0,1,3,4,0,2,0,0,0,4
2016-2017 Regular Season,10/26/2016,Rashad Vaughn,SG,Milwaukee,Charlotte,H,7.8,1,3,0,1,0,0,0,1,1,0,2,0,0,0,2
2016-2017 Regular Season,10/26/2016,Andrew Wiggins,SF,Minnesota,Memphis,R,34.5,7,14,1,1,10,14,4,3,7,0,1,0,2,1,25
2016-2017 Regular Season,10/26/2016,Gorgui Dieng,PF,Minnesota,Memphis,R,34.0,5,10,0,1,2,2,5,9,14,2,3,2,0,1,12
